EMP_Micro,EMP_Meso,EMP_Macro,STN_Meso,STN_Macro,FMWT_Meso,FMWT_Macro,twentymm_Meso,FRP_Meso,FRP_Macro,YBFMP,LI_Meso,LI_Micro,Lifestage,Taxname,Level,Phylum,Class,Order,Family,Genus,Species,Intro,EMPstart,EMPend,FMWTstart,FMWTend,twentymmstart,twentymmend,twentymmstart2,IBMR
NA,NA,NA,NA,NA,NA,NA,NA,Mite,Mite,NA,NA,NA,Adult,Hydrachnidia,Order,Arthropoda,Arachnida,Hydrachnidia ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alona sp. undifferentiated,NA,NA,Adult,Bosmina longirostris,Species,Arthropoda,Branchiopoda,Cladocera,Bosminidae,Bosmina,Bosmina longirostris,NA,1/1/1972,NA,1/1/1972,NA,1/1/1995,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alonella sp. undifferentiated,NA,NA,Adult,Monospilus dispar,Species,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Monospilus,dispar,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,BOSMINA,NA,BOSMINA,NA,BOSMINA,NA,Bosmina,Bosmina,Bosmina,Bosmina longirostris undifferentiated,NA,NA,Adult,Ceriodaphnia,Genus,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Ceriodaphnia,NA,NA,NA,NA,NA,NA,1/1/1995,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceriodaphnia sp. undifferentiated,NA,NA,Adult,Chydorus,Genus,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Chydorus,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chydorus sp. undifferentiated,NA,NA,Adult,Cladocera,Order,Arthropoda,Branchiopoda,Cladocera,NA,NA,NA,NA,NA,NA,NA,NA,1/1/2006,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cladocera nauplius,NA,NA,Adult,Cladocera,Order,Arthropoda,Branchiopoda,Cladocera,NA,NA,NA,NA,1/1/1972,NA,1/1/1972,NA,1/1/1995,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cladocera undifferentiated,Cladocera,Cladocera,Adult,Daphnia,Genus,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphnia,NA,1/1/1972,1/1/1972,NA,1/1/1972,NA,1/1/1995,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daphnia sp. juvenile,NA,NA,Adult,Diaphanosoma,Genus,Arthropoda,Branchiopoda,Cladocera,Sididae,Diaphanosoma,NA,NA,1/1/1972,NA,1/1/1972,NA,1/1/1995,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daphnia sp. undifferentiated,NA,NA,Adult,Holopedium,Genus,Arthropoda,Branchiopoda,Cladocera,Holopedidae,Holopedium,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diaphanosoma sp. undifferentiated,NA,NA,Adult,Ilyocryptus,Genus,Arthropoda,Branchiopoda,Cladocera,Ilyocryptidae,Ilyocryptus,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Disparalona sp. undifferentiated,NA,NA,Adult,Latona,Genus,Arthropoda,Branchiopoda,Cladocera,Sididae,Latona,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurycercus sp. undifferentiated,NA,NA,Adult,Macrothricidae,Family,Arthropoda,Branchiopoda,Cladocera,Macrothricidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Graptoleberis sp. undifferentiated,NA,NA,Adult,Moina,Genus,Arthropoda,Branchiopoda,Cladocera,Moinidae,Moina,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ilyocryptus sp. undifferentiated,NA,NA,Adult,Scapholeberis,Genus,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Scapholeberis,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kurzia sp. undifferentiated,NA,NA,Adult,Sida,Genus,Arthropoda,Branchiopoda,Cladocera,Sididae,Sida,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leydigia sp. undifferentiated,NA,NA,Adult,Simocephalus,Genus,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Simocephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrothrix sp. undifferentiated,NA,NA,Juvenile,Daphnia,Genus,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphnia,NA,NA,NA,NA,NA,NA,NA,NA,NA,daphnia
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moina sp. undifferentiated,NA,NA,Larva,Cladocera,Order,Arthropoda,Branchiopoda,Cladocera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monospilus dispar undifferentiated,NA,NA,Undifferentiated,Alona,Genus,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Alona,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monospilus sp. undifferentiated,NA,NA,Undifferentiated,Alonella,Genus,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Alonella,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Picripleuroxus sp. undifferentiated,NA,NA,Undifferentiated,Ceriodaphnia,Genus,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Ceriodaphnia,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pleuroxus sp. undifferentiated,NA,NA,Undifferentiated,Chydorus,Genus,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Chydorus,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudochydorus globosus undifferentiated,NA,NA,Undifferentiated,Cladocera,Order,Arthropoda,Branchiopoda,Cladocera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudochydorus sp. undifferentiated,NA,NA,Undifferentiated,Daphnia,Genus,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphnia,NA,NA,NA,NA,NA,NA,NA,NA,NA,daphnia
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scapholeberis sp. undifferentiated,NA,NA,Undifferentiated,Diaphanosoma,Genus,Arthropoda,Branchiopoda,Cladocera,Sididae,Diaphanosoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sida sp. undifferentiated,NA,NA,Undifferentiated,Disparalona,Genus,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Disparalona,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Simocephalus sp. undifferentiated,NA,NA,Undifferentiated,Eurycercus,Genus,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Eurycercus,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,Ceriodaphnia,Ceriodaphnia,Ceriodaphnia,NA,NA,NA,Undifferentiated,Graptoleberis,Genus,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Graptoleberis,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,Chydorus,Chydorus,NA,NA,NA,Undifferentiated,Ilyocryptus,Genus,Arthropoda,Branchiopoda,Cladocera,Ilyocryptidae,Ilyocryptus,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,UnID cladocera,Cladocera,Cladocera,NA,NA,NA,Undifferentiated,Kurzia,Genus,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Kurzia,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,OTHCLADO,NA,OTHCLADO,NA,OTHCLADO,NA,Other cladocera,Cladocera Other,Cladocera Other,NA,NA,NA,Undifferentiated,Leydigia,Genus,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Leydigia,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,DAPHNIA,NA,DAPHNIA,NA,DAPHNIA,NA,Daphnia,Daphnia,Daphnia,NA,NA,NA,Undifferentiated,Macrothricidae,Family,Arthropoda,Branchiopoda,Cladocera,Macrothricidae,Macrothrix,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,DIAPHAN,NA,DIAPHAN,NA,DIAPHAN,NA,Diaphanosoma,Diaphanosoma,Diaphanosoma,NA,NA,NA,Undifferentiated,Moina,Genus,Arthropoda,Branchiopoda,Cladocera,Moinidae,Moina,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,Holopedium,Holopedium,NA,NA,NA,Undifferentiated,Monospilus,Genus,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Monospilus,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,Ilyocryptus,Ilyocryptus,NA,NA,NA,Undifferentiated,Picripleuroxus,Genus,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Picripleuroxus,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,Latona,Latona,NA,NA,NA,Undifferentiated,Pleuroxus,Genus,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Pleuroxus,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,Leptodora,Leptodora,NA,NA,NA,Undifferentiated,Pseudochydorus globosus,Species,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Pseudochydorus,globosus,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,Macrothricidae,Macrothricidae,NA,NA,NA,Undifferentiated,Pseudochydorus,Species,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Pseudochydorus,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,Moina,Moina,NA,NA,NA,Undifferentiated,Scapholeberis,Genus,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Scapholeberis,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,Scapholeberis,Scapholeberis,NA,NA,NA,Undifferentiated,Sida,Genus,Arthropoda,Branchiopoda,Cladocera,Sididae,Sida,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,Sida,Sida,NA,NA,NA,Undifferentiated,Simocephalus,Genus,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Simocephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,Simocephalus,Simocephalus,NA,NA,NA,Undifferentiated,Leptodora,Genus,Arthropoda,Branchiopoda,Cladocera,Leptodoridae,Leptodora,NA,NA,NA,NA,NA,NA,NA,NA,NA,othclad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anchistropus sp. undifferentiated,NA,NA,Undifferentiated,Anchistropus,Genus,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Anchistropus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camptocercus sp. undifferentiated,NA,NA,Undifferentiated,Camptocercus,Genus,Arthropoda,Branchiopoda,Diplostraca,Eurycercidae,Camptocercus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,Collembola,Collembola,NA,NA,NA,Undifferentiated,Collembola,Class,Arthropoda,Collembola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ACARTIA,NA,ACARTIA,NA,ACARTIA,NA,Acartia spp_,Acartia spp.,Acartia spp.,Acartia sp. adult,NA,NA,Adult,Acartia,Genus,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,NA,NA,1/1/1972,NA,1/1/1972,NA,1/1/1995,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acartia sp. copepodid,NA,NA,Adult,Acartiella sinensis,Species,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartiella,Acartiella sinensis,1/1/1993,1/1/1994,NA,1/1/1994,NA,1/1/1995,NA,NA,acartela
NA,ACARTELA,NA,ACARTELA,NA,ACARTELA,NA,Acartiella,Acartiella,Acartiella,Acartiella sinensis adult,NA,NA,Adult,Arctodiaptomus dorsalis,Species,Arthropoda,Copepoda,Calanoida,Diaptomidae,Arctodiaptomus,dorsalis,NA,NA,NA,NA,NA,NA,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acartiella sp. copepodid,NA,NA,Adult,Calanoida,Order,Arthropoda,Copepoda,Calanoida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arctodiaptomus dorsalis adult,NA,NA,Adult,Calanoida,Order,Arthropoda,Copepoda,Calanoida,NA,NA,NA,NA,NA,NA,NA,NA,1/1/2006,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,NA,Calanoid,Calanoid,Calanoida adult,NA,NA,Adult,Diaptomus dorsalis,Species,Arthropoda,Copepoda,Calanoida,Diaptomidae,Diaptomus,dorsalis,NA,NA,NA,NA,NA,NA,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,UnID calanoid,Calanoid UNID,Calanoid UNID,NA,NA,NA,Adult,Diaptomus siciloides,Species,Arthropoda,Copepoda,Calanoida,Diaptomidae,Diaptomus,siciloides,NA,NA,NA,NA,NA,NA,NA,NA,othcalad
NA,OTHCALJUV,NA,OTHCALJUV,NA,OTHCALJUV,NA,NA,NA,NA,Calanoida copepodid,NA,NA,Adult,Diaptomus,Genus,Arthropoda,Copepoda,Calanoida,Diaptomidae,Diaptomus,NA,NA,NA,NA,NA,NA,1/1/1995,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diaptomus dorsalis adult,NA,NA,Adult,Eurytemora affinis,Species,Arthropoda,Copepoda,Calanoida,Temoridae,Eurytemora,Eurytemora affinis,NA,1/1/1972,NA,1/1/1972,NA,1/1/1995,NA,NA,eurytem
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diaptomus siciloides adult,NA,NA,Adult,Eurytemora,Genus,Arthropoda,Copepoda,Calanoida,Temoridae,Eurytemora,NA,NA,NA,NA,NA,NA,NA,NA,NA,eurytem
NA,NA,NA,NA,NA,NA,NA,Diaptomus spp_,NA,NA,Diaptomus sp. adult,NA,NA,Adult,Hesperodiaptomus californiensis,Species,Arthropoda,Copepoda,Calanoida,Diaptomidae,Hesperodiaptomus,californiensis,NA,NA,NA,NA,NA,NA,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,Diaptomus copepodid,NA,NA,Diaptomus sp. copepodid,NA,NA,Adult,Hesperodiaptomus franciscanus,Species,Arthropoda,Copepoda,Calanoida,Diaptomidae,Hesperodiaptomus,franciscanus,NA,NA,NA,NA,NA,NA,NA,NA,othcalad
NA,EURYTEM,NA,EURYTEM,NA,EURYTEM,NA,Eurytemora spp_,Eurytemora affinis,Eurytemora affinis,Eurytemora affinis adult,NA,NA,Adult,Hesperodiaptomus,Genus,Arthropoda,Copepoda,Calanoida,Diaptomidae,Hesperodiaptomus,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcalad
NA,EURYJUV,NA,EURYJUV,NA,EURYJUV,NA,Eurytemora copepodid,Eurytemora copepodid,Eurytemora copepodid,Eurytemora affinis copepodid,NA,NA,Adult,Leptodiaptomus siciloides,Species,Arthropoda,Copepoda,Calanoida,Diaptomidae,Leptodiaptomus,siciloides,NA,NA,NA,NA,NA,NA,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurytemora sp. adult,NA,NA,Adult,Osphranticum labronectum,Species,Arthropoda,Copepoda,Calanoida,Centropagidae,Osphranticum,Osphranticum labronectum,NA,NA,NA,NA,NA,1/1/1995,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hesperodiaptomus cf. californiensis adult,NA,NA,Adult,Pseudodiaptomus,Genus,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,NA,1/1/1986,NA,NA,NA,NA,1/1/1995,NA,NA,pdiapfor
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hesperodiaptomus franciscanus adult,NA,NA,Adult,Pseudodiaptomus forbesi,Species,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,Pseudodiaptomus forbesi,1/1/1987,1/1/1988,NA,1/1/1988,NA,1/1/2006,NA,NA,pdiapfor
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hesperodiaptomus sp. adult,NA,NA,Adult,Sinocalanus doerrii,Species,Arthropoda,Copepoda,Calanoida,Centropagidae,Sinocalanus,Sinocalanus doerrii,1/1/1978,1/1/1978,NA,1/1/1978,NA,1/1/1995,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leptodiaptomus siciloides adult,NA,NA,Adult,Sinocalanus doerrii,Species,Arthropoda,Copepoda,Calanoida,Centropagidae,Sinocalanus,Sinocalanus doerrii,NA,NA,NA,NA,NA,NA,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,Osphranticum,Osphranticum,Osphranticum,Osphranticum labronectum adult,NA,NA,Adult,Skistodiaptomus pallidus,Species,Arthropoda,Copepoda,Calanoida,Diaptomidae,Skistodiaptomus,pallidus,NA,NA,NA,NA,NA,NA,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Osphranticum sp. copepodid,NA,NA,Adult,Skistodiaptomus,Genus,Arthropoda,Copepoda,Calanoida,Diaptomidae,Skistodiaptomus,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,Pseudodiaptomus spp_,Pseudodiaptomus spp.,Pseudodiaptomus spp.,Pseudodiaptomus sp. adult,NA,NA,Adult,Tortanus,Genus,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,NA,1/1/1993,1/1/1994,NA,1/1/1994,NA,1/1/1995,NA,NA,othcalad
NA,PDIAPFOR,NA,PDIAPFOR,NA,PDIAPFOR,NA,Pseudodiaptomus forbesii,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,NA,NA,Adult,Calanoida,Order,Arthropoda,Copepoda,Calanoida,NA,NA,NA,NA,1/1/1972,NA,1/1/1972,NA,1/1/1995,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudodiaptomus forbesi copepodid,NA,NA,Adult,Diaptomidae,Family,Arthropoda,Copepoda,Calanoida,Diaptomidae,NA,NA,NA,1/1/1972,NA,1/1/1972,NA,NA,NA,NA,othcalad
NA,SINOCAL,NA,SINOCAL,NA,SINOCAL,NA,Sinocalanus,Sinocalanus,Sinocalanus,Sinocalanus doerrii adult,NA,NA,Adult,Pseudodiaptomus euryhalinus,Species,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,Pseudodiaptomus euryhalinus,NA,NA,NA,NA,NA,NA,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sinocalanus doerrii copepodid,NA,NA,Adult,Pseudodiaptomus marinus,Species,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,Pseudodiaptomus marinus,1/1/1986,1/1/1988,NA,1/1/1988,NA,1/1/2006,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sinoclanus doerii adult,NA,NA,Adult,Tortanus dextrilobatus,Species,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,Tortanus dextrilobatus,1/1/1993,NA,NA,NA,NA,1/1/2006,1/1/2011,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skistodiaptomus pallidus adult,NA,NA,Adult,Tortanus discaudatus,Species,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,Tortanus discaudatus,NA,NA,NA,NA,NA,NA,NA,NA,othcalad
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skistodiaptomus sp. adult,NA,NA,Juvenile,Acartia,Genus,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcaljuv
NA,TORTANUS,NA,TORTANUS,NA,TORTANUS,NA,Tortanus,Tortanus,Tortanus,Tortanus sp. adult,NA,NA,Juvenile,Acartiella sinensis,Species,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartiella,Acartiella sinensis,NA,NA,NA,NA,NA,NA,NA,NA,othcaljuv
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tortanus sp. copepodid,NA,NA,Juvenile,Calanoida,Order,Arthropoda,Copepoda,Calanoida,NA,NA,NA,NA,1/1/1989,NA,1/1/1989,NA,NA,NA,NA,othcaljuv
NA,OTHCALAD,NA,OTHCALAD,NA,OTHCALAD,NA,Other calanoid,Calanoid Other,Calanoid Other,NA,NA,NA,Juvenile,Diaptomus,Genus,Arthropoda,Copepoda,Calanoida,Diaptomidae,Diaptomus,NA,NA,NA,NA,NA,NA,1/1/2006,NA,NA,othcaljuv
NA,ACARJUV,NA,ACARJUV,NA,ACARJUV,NA,Acartia copepodid,Acartia copepodid,Acartia copepodid,NA,NA,NA,Juvenile,Eurytemora affinis,Species,Arthropoda,Copepoda,Calanoida,Temoridae,Eurytemora,Eurytemora affinis,NA,1/1/1989,NA,1/1/1989,NA,1/1/1998,NA,NA,othcaljuv
NA,NA,NA,NA,NA,NA,NA,Acartiella copepodid,NA,NA,NA,NA,NA,Juvenile,Osphranticum,Genus,Arthropoda,Copepoda,Calanoida,Centropagidae,Osphranticum,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcaljuv
NA,ASINEJUV,NA,ASINEJUV,NA,ASINEJUV,NA,NA,Acartiella copepodid,Acartiella copepodid,NA,NA,NA,Juvenile,Pseudodiaptomus forbesi,Species,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,Pseudodiaptomus forbesi,NA,NA,NA,NA,NA,NA,NA,NA,pdiapjuv
NA,CALJUV,NA,NA,NA,NA,NA,calanoid copepodid,calanoid copepodid,calanoid copepodid,NA,NA,NA,Juvenile,Sinocalanus doerrii,Species,Arthropoda,Copepoda,Calanoida,Centropagidae,Sinocalanus,Sinocalanus doerrii,NA,NA,NA,NA,NA,NA,NA,NA,othcaljuv
NA,DIAPTOM,NA,DIAPTOM,NA,DIAPTOM,NA,NA,Diaptomidae spp.,Diaptomidae spp.,NA,NA,NA,Juvenile,Tortanus,Genus,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,othcaljuv
NA,DIAPTJUV,NA,DIAPTJUV,NA,DIAPTJUV,NA,NA,Diaptomidae copepodid,Diaptomidae copepodid,NA,NA,NA,Juvenile,Acartia,Genus,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,NA,NA,1/1/2006,NA,1/1/2006,NA,1/1/2006,NA,NA,othcaljuv
NA,NA,NA,NA,NA,NA,NA,Eurytemora nauplii,Eurytemora nauplii,Eurytemora nauplii,NA,NA,NA,Juvenile,Acartiella,Genus,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartiella,NA,1/1/1993,NA,NA,NA,NA,1/1/2006,NA,NA,othcaljuv
EURYNAUP,EURYNAUP,NA,EURYNAUP,NA,EURYNAUP,NA,NA,NA,NA,NA,NA,NA,Juvenile,Acartiella sinensis,Species,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartiella,Acartiella sinensis,1/1/1993,1/1/2006,NA,1/1/2006,NA,NA,NA,NA,othcaljuv
